Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean
2016-01-01,7.5,7.2,7.2,9.1,6.8,8.7,8.4,7.7,7.6,,7.8
2016-02-01,8.9,7.9,7.8,7.5,7.5,7.8,8.3,8.0,8.3,,8.0
2016-03-01,7.6,8.4,8.3,7.6,8.0,7.6,8.1,7.9,8.5,,8.0
2016-04-01,8.6,8.3,8.6,7.5,8.3,8.6,8.1,8.3,8.5,,8.3
2016-05-01,6.4,8.4,6.8,7.1,7.9,6.9,7.7,7.5,10.0,,7.6
2016-06-01,14.4,8.3,9.5,9.5,8.9,7.6,7.7,8.9,9.1,,9.3
2016-07-01,7.3,9.7,15.9,6.3,8.1,4.0,7.5,7.8,9.4,,8.4
2016-08-01,5.5,6.8,7.3,6.6,7.6,6.5,7.4,7.3,6.7,,6.9
2016-09-01,7.3,9.0,13.5,7.8,8.8,8.7,10.2,12.1,9.4,,9.6
2016-10-01,7.3,10.0,8.9,6.3,8.5,5.9,5.8,7.6,9.3,,7.7
2016-11-01,7.8,7.2,7.4,7.5,8.1,6.8,9.8,7.9,6.6,,7.7
2016-12-01,6.5,7.6,7.7,6.8,7.2,9.6,8.5,7.7,7.6,,7.7
2017-01-01,7.9,7.7,8.1,8.5,7.6,8.2,7.7,9.6,7.7,,8.1
2017-02-01,7.6,7.6,7.3,9.0,7.8,8.8,7.8,7.7,7.8,,7.9
2017-03-01,8.9,9.4,8.4,9.0,9.1,9.1,9.6,8.5,9.4,,9.0
2017-04-01,6.3,7.2,6.9,6.3,7.1,6.9,6.9,7.0,7.4,,6.9
2017-05-01,7.3,7.7,8.4,5.5,7.5,7.9,7.0,7.6,8.4,,7.5
2017-06-01,8.7,7.1,8.1,9.7,8.6,8.7,9.0,10.2,8.6,,8.7
2017-07-01,8.7,6.9,9.0,8.6,8.1,7.4,8.0,8.1,9.3,,8.2
2017-08-01,8.4,9.6,13.1,11.0,11.6,9.6,9.4,14.1,9.9,,10.7
2017-09-01,7.3,9.5,17.2,7.7,10.3,10.4,10.9,8.7,9.7,,10.2
2017-10-01,6.9,8.4,7.6,9.3,10.8,5.6,7.8,7.8,8.5,,8.1
2017-11-01,6.6,8.6,6.5,5.9,7.8,6.2,7.5,7.4,8.8,,7.3
2017-12-01,6.6,8.6,6.5,5.9,7.8,6.2,7.5,7.4,8.8,,7.3
2018-01-01,7.8,8.1,8.1,7.4,7.6,8.6,8.6,8.4,8.4,,8.1
2018-02-01,8.3,8.5,8.3,8.7,7.7,9.7,9.7,9.2,8.4,,8.7
2018-03-01,8.6,8.4,8.1,9.5,8.2,8.2,8.7,8.2,8.6,,8.5
2018-04-01,7.7,8.1,8.0,6.8,7.9,8.4,8.6,7.9,8.3,,8.0
2018-05-01,8.6,7.5,7.0,10.6,8.3,8.3,8.4,7.2,7.9,,8.2
2018-06-01,7.6,15.8,8.3,10.0,9.3,8.2,8.2,8.6,16.1,,10.2
2018-07-01,9.0,8.3,9.0,7.8,8.1,7.9,8.1,8.0,9.5,,8.4
2018-08-01,5.6,6.8,8.5,8.2,6.4,7.6,8.2,7.8,8.8,,7.5
2018-09-01,10.5,9.5,8.8,8.5,9.9,10.6,10.7,8.6,9.1,,9.6
2018-10-01,7.1,7.6,6.6,6.9,8.4,8.2,8.4,7.5,8.3,,7.7
2018-11-01,6.9,7.3,7.2,10.0,6.3,6.8,7.2,6.7,7.6,,7.3
2018-12-01,8.1,7.7,8.1,8.0,6.9,8.7,8.4,8.4,8.6,,8.1
2019-01-01,8.9,7.7,7.9,9.0,7.4,8.5,7.6,8.2,7.8,,8.1
2019-02-01,8.0,7.9,7.5,6.6,8.2,8.3,8.3,8.3,7.9,,7.9
2019-03-01,6.9,8.1,8.0,7.3,7.5,8.7,7.7,8.9,8.4,,7.9
2019-04-01,7.8,7.5,7.3,7.3,7.4,8.2,7.6,7.3,7.8,,7.6
2019-05-01,10.1,5.9,6.6,8.8,6.2,4.5,7.4,6.6,7.3,,7.0
2019-06-01,10.4,7.2,10.6,7.8,8.8,11.3,9.8,8.1,12.1,,9.6
2019-07-01,5.7,8.9,7.1,7.5,7.2,7.3,8.1,7.0,10.7,,7.7
2019-08-01,6.5,7.8,7.3,7.1,7.4,6.6,7.1,7.7,8.1,,7.3
2019-09-01,6.5,6.8,6.4,7.6,8.0,6.5,8.4,7.4,7.7,,7.3
2019-10-01,6.6,7.5,7.9,7.6,7.0,6.7,7.7,7.9,7.5,,7.4
2019-11-01,7.1,8.6,8.8,12.8,8.0,6.6,10.0,8.4,9.2,,8.8
2019-12-01,6.9,6.9,6.9,7.3,7.2,6.9,7.2,7.3,7.5,,7.1
2020-01-01,7.1,7.6,7.5,7.5,7.6,7.9,8.3,7.1,7.4,,7.6
2020-02-01,7.3,7.7,7.0,8.1,8.3,7.6,8.0,7.7,7.8,,7.7
2020-03-01,7.7,8.2,7.7,7.5,8.2,8.2,8.6,7.8,8.2,,8.0
2020-04-01,8.0,8.0,7.4,8.2,8.4,8.2,8.5,8.2,8.0,,8.1
2020-05-01,8.2,7.7,7.0,8.9,8.6,8.2,8.5,8.5,7.8,,8.2
2020-06-01,8.5,7.5,6.7,9.7,8.8,8.3,8.4,8.9,7.6,,8.2
2020-07-01,8.8,7.3,6.3,10.4,8.9,8.3,8.3,9.2,7.3,,8.3
2020-08-01,9.0,7.0,6.0,11.1,9.1,8.3,8.3,9.6,7.1,,8.4
2020-09-01,9.3,6.8,5.6,11.8,9.3,8.3,8.2,9.9,6.9,,8.5
2020-10-01,7.3,7.0,7.8,7.6,7.3,7.2,7.3,6.8,7.5,,7.3
2020-11-01,6.8,7.2,8.3,7.8,6.5,6.4,7.2,6.7,7.9,,7.2
2020-12-01,7.1,7.9,8.3,7.7,8.7,8.9,7.3,8.3,7.3,,7.9
2021-01-01,7.8,8.6,7.5,7.4,8.0,7.9,7.9,7.9,8.5,,7.9
2021-02-01,8.3,8.1,8.0,7.2,8.4,8.5,8.1,7.7,8.4,,8.1
2021-03-01,8.4,8.3,7.2,7.9,8.3,8.2,9.6,8.1,8.2,,8.2
2021-04-01,7.8,7.8,7.1,7.6,8.0,7.6,8.4,7.9,8.0,,7.8
2021-05-01,7.1,7.3,7.0,7.2,7.7,7.0,7.1,7.6,7.8,,7.3
2021-06-01,7.7,9.9,10.2,11.9,8.1,10.3,9.6,8.3,7.7,,9.3
2021-07-01,8.1,7.9,7.1,8.1,7.8,7.8,7.1,8.5,8.1,,7.8
2021-08-01,7.0,7.2,7.2,7.8,7.4,7.9,7.2,,8.0,,7.5
2021-09-01,6.8,7.6,7.9,9.3,8.0,5.4,6.9,9.1,7.9,,7.7
2021-10-01,7.4,7.8,7.3,7.6,7.6,6.4,6.9,7.7,7.0,,7.3
2021-11-01,6.8,7.7,7.2,6.9,7.5,7.3,7.3,7.2,7.7,,7.3
2021-12-01,7.4,7.5,7.4,7.0,7.9,7.5,7.6,7.3,7.7,,7.5
2022-01-01,7.5,7.5,7.4,7.5,7.8,7.6,7.7,7.5,7.6,,7.5
2022-02-01,7.5,7.5,7.4,8.0,7.7,7.6,7.8,7.6,7.4,,7.6
2022-03-01,6.8,7.6,7.0,7.6,7.6,7.2,7.3,7.3,7.6,,7.3
2022-04-01,7.3,7.6,7.3,8.1,7.7,7.4,7.6,7.2,8.1,,7.6
2022-05-01,6.8,7.3,7.8,7.2,7.5,6.8,6.6,7.9,8.2,,7.3
2022-06-01,7.0,8.4,8.6,9.0,7.9,7.8,7.2,9.6,8.7,,8.2
2022-07-01,8.8,10.4,10.6,8.0,7.6,9.0,7.6,9.5,10.6,,9.1
2022-08-01,5.6,6.4,11.0,8.3,8.1,5.4,7.8,8.2,8.6,,7.7
2022-09-01,7.1,8.2,6.9,10.1,9.1,7.6,7.7,9.2,9.4,,8.4
2022-10-01,5.8,6.8,6.3,6.4,7.4,6.2,6.8,6.6,7.9,,6.7
2022-11-01,6.5,6.9,6.8,8.1,7.8,5.7,7.2,8.1,7.2,,7.1
2022-12-01,6.9,7.0,7.3,7.2,7.1,7.1,6.6,7.2,7.8,,7.1
